"Temp, F","Press, psia","Rho, g/cm3 * 10^4"
40,26003,8595
40,24067,8562
40,22177,8530
40,20184,8493
40,18224,8457
40,16322,8418
40,14370,8377
40,12372,8333
40,10108,8278
40,8046,8224
40,6045,8166
40,4044,8102
40,2022,8026
100,25989,8510
100,24012,8471
100,22012,8431
100,20016,8389
100,18014,8345
100,16015,8299
100,14017,8250
100,12016,8197
100,10017,8140
100,8018,8078
100,6021,8008
100,4017,7927
100,2018,7836
200,26000,8300
200,24024,8256
200,22024,8209
200,20019,8160
200,18016,8107
200,16020,8052
200,14019,7994
200,12026,7931
200,10025,7862
200,8018,7786
200,6019,7703
200,4019,7608
200,2016,7500
225,26000,8251
225,24017,8204
225,22018,8155
225,20019,8104
225,18018,8050
225,16026,7994
225,14027,7933
225,12024,7867
225,10022,7796
225,8019,7718
225,6025,7632
225,4025,7533
225,2021,7418
250,26000,8204
250,24016,8155
250,22017,8104
250,20016,8051
250,18023,7995
250,16025,7936
250,14023,7872
250,12023,7804
250,10026,7730
250,8023,7648
250,6025,7557
250,4025,7452
250,2046,7323
275,26003,8123
275,24062,8075
275,22043,8023
275,20035,7970
275,18030,7913
275,16031,7854
275,14030,7790
275,12031,7721
275,10026,7646
275,8028,7561
275,6029,7467
275,4027,7357
275,2026,7226
300,26037,8077
300,24033,8027
300,22033,7975
300,20033,7921
300,18032,7863
300,16029,7801
300,14032,7736
300,12030,7664
300,10028,7585
300,8028,7496
300,6028,7396
300,4028,7280
300,2028,7143
350,26025,7985
350,24033,7933
350,22035,7878
350,20027,7820
350,18029,7759
350,16025,7693
350,14026,7623
350,12025,7546
350,10032,7461
350,8024,7362
350,6030,7250
350,4025,7121
350,2024,6971
390,26021,7912
390,24028,7858
390,22029,7801
390,20029,7740
390,18026,7676
390,16029,7607
390,14028,7532
390,12027,7451
390,10024,7357
390,8028,7252
390,6027,7133
390,4026,6996
390,2026,6832
